model,dataset,epoch,step,clm_ece,clm_acc,facts_ece,facts_acc,mmlu_ece,mmlu_acc,note
LLaMA-7B,none,0,,0.0092,0.614,0.0602,0.1288,0.0497,0.446,Untuned baseline
Pythia-1B,pile,0,256,0.0774,,0.1452,,0.569,,Pretraining step 256
Pythia-1B,pile,0,512,0.0498,,0.1117,,0.473,,Pretraining step 512
Pythia-1B,pile,0,1000,0.0656,,0.0489,,0.323,,Pretraining step 1000
Pythia-1B,pile,0,4000,0.0473,,0.0658,,0.240,,Pretraining step 4000
Pythia-1B,pile,0,16000,0.0456,,0.0687,,0.244,,Pretraining step 16000
Pythia-1B,pile,0,64000,0.0457,,0.058,,0.211,,Pretraining step 64000
Pythia-1B,pile,0,143000,0.042,,0.0482,,0.121,,Pretraining step 143000 (final)
LLaMA-7B+LoRA,alpaca,1,,0.0286,0.6018,0.23,0.0314,0.0717,0.445,Alpaca epoch 1
LLaMA-7B+LoRA,alpaca,2,,0.0322,0.603,0.2327,0.0458,0.097,0.4557,Alpaca epoch 2
LLaMA-7B+LoRA,alpaca,3,,0.0856,0.5079,0.2323,0.0462,,,Alpaca epoch 3 — MMLU extraction bug
LLaMA-7B+LoRA,openassistant,3,,0.0262,0.588,0.0813,0.0974,0.0705,0.431,OA epoch 3
LLaMA-7B+LoRA,dolly,1,,,,,,,,Dolly epoch 1 (intermediate checkpoint)
LLaMA-7B+LoRA,dolly,2,,,,,,,,Dolly epoch 2 (intermediate checkpoint)
LLaMA-7B+LoRA,dolly,3,,0.0201,0.6084,0.0849,0.1224,0.0237,0.2263,Dolly epoch 3 — best MMLU ECE
